OC,TH_LAT,TH_LONG,SURVEY_DATE
26.7,56.69896786,23.44829398,2018-05-03 00:00:00
133.7,56.67463659,23.50616906,2018-05-03 00:00:00
58.1,42.82060669,-7.452511062,2018-05-03 00:00:00
21.3,56.59747177,23.54500533,2018-05-03 00:00:00
33.0,41.28714082,-8.381253453,2018-05-03 00:00:00
17.8,41.76088556,-0.326688059,2018-05-03 00:00:00
13.7,41.71214748,-0.270036754,2018-05-03 00:00:00
13.2,51.95616664,17.8288657,2018-05-03 00:00:00
12.5,36.46150514,-5.430036356,2018-05-03 00:00:00
34.2,42.8997741,-7.52675981,2018-05-03 00:00:00
7.1,53.9195908,21.54599974,2018-05-03 00:00:00
7.9,39.08936837,-1.851860522,2018-05-03 00:00:00
6.9,53.83441324,21.67660565,2018-05-03 00:00:00
140.2,43.52755061,5.048250167,2018-05-03 00:00:00
12.4,51.9165903,17.88047518,2018-05-03 00:00:00
16.2,53.84922132,21.71159938,2018-05-03 00:00:00
9.7,37.55673214,-7.777729769,2018-05-03 00:00:00
316.1,50.60553672,-3.896602078,2018-05-03 00:00:00
17.0,43.74391982,5.426959898,2018-05-03 00:00:00
28.3,47.9180532,17.43563562,2018-05-03 00:00:00
79.0,45.67314989,12.49964887,2018-05-03 00:00:00
13.8,39.27508301,-5.783220497,2018-05-03 00:00:00
7.6,56.22486091,26.68655299,2018-05-03 00:00:00
27.3,43.35238296,-5.791897187,2018-05-03 00:00:00
8.7,53.09041263,12.40344626,2018-05-03 00:00:00
82.1,56.68579546,22.67888151,2018-05-04 00:00:00
38.8,37.76937439,-7.532160065,2018-05-04 00:00:00
12.8,46.09134043,11.27864688,2018-05-04 00:00:00
13.6,42.01197269,-0.004928459,2018-05-04 00:00:00
10.7,53.14185464,12.52592787,2018-05-04 00:00:00
31.7,46.12673203,11.33118763,2018-05-04 00:00:00
3.9,39.93780101,-4.970608372,2018-05-04 00:00:00
18.6,56.64804178,27.65051242,2018-05-04 00:00:00
21.5,39.01784781,-1.83893751,2018-05-04 00:00:00
18.3,40.17472167,21.48470455,2018-05-04 00:00:00
8.8,40.215916,21.44479497,2018-05-04 00:00:00
21.7,39.02345073,-1.793413262,2018-05-04 00:00:00
11.9,39.03181495,-1.725114319,2018-05-04 00:00:00
19.2,39.08546937,-1.734713727,2018-05-04 00:00:00
12.8,53.61569626,21.49315396,2018-05-04 00:00:00
7.2,39.09102397,-1.689137038,2018-05-04 00:00:00
14.4,40.20772623,21.51435412,2018-05-04 00:00:00
18.0,40.17043257,21.36562048,2018-05-04 00:00:00
3.2,40.73576446,-3.52651023,2018-05-04 00:00:00
16.2,40.80683183,-3.541976478,2018-05-04 00:00:00
8.1,39.38188956,-1.9987528,2018-05-04 00:00:00
13.8,40.30524738,23.19564652,2018-05-04 00:00:00
12.7,51.73026422,17.96444667,2018-05-04 00:00:00
13.6,39.0703642,-1.708729948,2018-05-04 00:00:00
17.6,42.64275382,-6.098551999,2018-05-04 00:00:00
11.4,51.6723747,17.75049294,2018-05-04 00:00:00
8.7,51.67505298,17.43091366,2018-05-04 00:00:00
22.2,37.15069102,-4.580028662,2018-05-04 00:00:00
12.2,40.69207889,-3.445087869,2018-05-04 00:00:00
11.3,37.11508834,-4.572484304,2018-05-04 00:00:00
12.9,35.9178787,14.38124639,2018-05-04 00:00:00
29.3,42.60372344,-6.11276671,2018-05-04 00:00:00
14.2,39.04412775,-1.773857889,2018-05-04 00:00:00
230.6,56.69586965,27.57178938,2018-05-04 00:00:00
17.0,37.1368977,-4.668266702,2018-05-04 00:00:00
9.5,56.57008443,27.41162509,2018-05-04 00:00:00
41.1,56.67417389,27.32523752,2018-05-04 00:00:00
10.8,53.13086078,12.16653167,2018-05-04 00:00:00
10.8,37.0657061,-4.653103785,2018-05-04 00:00:00
6.4,51.75202253,17.90997207,2018-05-04 00:00:00
3.8,40.32823335,23.29576574,2018-05-04 00:00:00
17.5,56.72180105,27.6516964,2018-05-04 00:00:00
454.9,55.83913935,-3.800621927,2018-05-04 00:00:00
136.0,42.60587759,-6.213147489,2018-05-04 00:00:00
7.5,39.42550558,-5.985859452,2018-05-04 00:00:00
27.9,43.34481504,-5.840285445,2018-05-04 00:00:00
43.6,41.25214945,-8.46897261,2018-05-04 00:00:00
97.8,55.8852392,-4.20899073,2018-05-04 00:00:00
37.8,43.33722431,-5.888662592,2018-05-04 00:00:00
19.5,42.18849646,2.421671603,2018-05-04 00:00:00
9.2,41.68025264,0.508493297,2018-05-04 00:00:00
23.2,41.74302895,0.595386468,2018-05-04 00:00:00
27.7,42.98726747,-7.553325605,2018-05-04 00:00:00
50.3,55.93259677,-3.4420318,2018-05-04 00:00:00
7.3,42.49204907,-6.007467332,2018-05-05 00:00:00
46.2,53.00528424,20.21281897,2018-05-05 00:00:00
8.8,39.74853498,-4.404647473,2018-05-05 00:00:00
12.5,51.21420033,23.38153213,2018-05-05 00:00:00
16.5,51.30562559,23.37932443,2018-05-05 00:00:00
14.5,42.54629689,-5.897728746,2018-05-05 00:00:00
7.3,52.25196557,19.00264222,2018-05-05 00:00:00
